link,nb_likes,nb_post_comments,likesPerSubs,commentsPerSubs,subs
Cbkl8e1o0CO,1862,114,5052.411472789974,309.33131466061064,0.36853688778673277
Cbkq2A2It5y,855,36,2319.98485995458,97.68357305071916,0.36853688778673277
Cbk5CX2o-vV,2985,129,8099.596265455463,350.0328034317437,0.36853688778673277
CblC8uwIHAn,1438,92,3901.916056859282,249.6357977962823,0.36853688778673277
CbmZ8GFoY1C,1442,42,3912.769787198251,113.96416855917235,0.36853688778673277
Cbm8LUHI5DH,1807,50,4903.172680629154,135.67162923710995,0.36853688778673277
CbnI2LuoZnV,240,4,651.2238203381278,10.853730338968795,0.36853688778673277
Cbnc1g9oSLK,689,17,1869.555050887375,46.12835394061738,0.36853688778673277
Cbne-vNI0ci,1251,127,3394.504163512491,344.60593826225926,0.36853688778673277
Cbng1U-oL3m,2374,97,6441.68895617798,263.2029607199933,0.36853688778673277
CbpItrnIlGe,1392,33,3777.0981579611407,89.54327529649257,0.36853688778673277
CbphZPKI4-b,1965,33,5331.895029018421,89.54327529649257,0.36853688778673277
Cbpw3LAInjG,856,25,2322.698292539322,67.83581461855498,0.36853688778673277
Cbp1nUbI2tQ,1605,63,4355.059298511229,170.94625283875854,0.36853688778673277
Cbp6pSlIErs,312,6,846.590966439566,16.280595508453192,0.36853688778673277
Cbp_L-QoFSG,1300,34,3527.4623601648586,92.25670788123476,0.36853688778673277
CbrcEdJoOMW,1008,13,2735.1400454201366,35.274623601648585,0.36853688778673277
CbrpftxoToA,548,12,1486.9610564387249,32.561191016906385,0.36853688778673277
Cbrv4C4o7GL,1406,28,3815.086214147532,75.97611237278157,0.36853688778673277
CbsDGqmISgB,1861,36,5049.698040205232,97.68357305071916,0.36853688778673277
CbuKiiIo307,2820,51,7651.879888973001,138.38506182185213,0.36853688778673277
CbvAWhcoFzY,907,27,2461.0833543611743,73.26267978803936,0.36853688778673277
CbwoPY_ousZ,1140,4,3093.313146606107,10.853730338968795,0.36853688778673277
CbwyZfOosea,1127,71,3058.038523004458,192.65371351669611,0.36853688778673277
CbxJ6gGIqK6,1696,50,4601.98166372277,135.67162923710995,0.36853688778673277
CbxWrxQI_rm,288,4,781.4685844057533,10.853730338968795,0.36853688778673277
CbxbSuzod41,3044,58,8259.688787955254,157.37908991504753,0.36853688778673277
CbxgB_roURw,738,14,2002.5132475397427,37.988056186390786,0.36853688778673277
CbxwEJGIz5L,2339,73,6346.718815712004,198.08057868618053,0.36853688778673277
Cbx2TSJIz-h,2599,86,7052.2112877449745,233.35520228782912,0.36853688778673277
CbzUBj7Iv-r,1332,47,3614.292202876609,127.53133148288335,0.36853688778673277
Cb0ANzfIMb0,589,17,1598.211792413155,46.12835394061738,0.36853688778673277
Cb0ASCSIDXE,1244,26,3375.5101354192952,70.54924720329717,0.36853688778673277
Cb0ZCw6I9OG,2568,36,6968.094877617967,97.68357305071916,0.36853688778673277
Cb0ffh_I07s,407,11,1104.367061990075,29.847758432164188,0.36853688778673277
Cb1pGI1IS3V,776,3,2105.6236857599465,8.140297754226596,0.36853688778673277
Cb11qvmo-AI,675,11,1831.5669947009842,29.847758432164188,0.36853688778673277
Cb2VTb-ISSJ,4457,57,12093.769030195981,154.66565733030532,0.36853688778673277
Cb2n9ilocqk,2920,266,7923.223147447221,721.7730675414249,0.36853688778673277
Cb2uKlEoF9F,2666,242,7234.011270922702,656.6506855076121,0.36853688778673277
Cb29lrao4-T,886,33,2404.101270081588,89.54327529649257,0.36853688778673277
Cb4UhLdMJLJ,1664,38,4515.151821011019,103.11043822020356,0.36853688778673277
